"HITID","Domain_Name","Worker1","Answer1","Worker2","Answer2","Worker3","Answer3","Worker4","Answer4","Worker5","Answer5","Worker6","Answer6","Worker7","Answer7","Worker8","Answer8","Worker9","Answer9","Worker10","Answer10","Worker11","Answer11","Worker12","Answer12","Worker13","Answer13","Worker14","Answer14","Worker15","Answer15","Worker16","Answer16","Worker17","Answer17","Worker18","Answer18","Worker19","Answer19","Worker20","Answer20","Avg","Date"
"2U78PJWKUDD8PZXY720Z8B6U7AXK9T","Appsfairy.com","A1012N48J0Z65N","0","A166A2M31CW2C7","1","A1FDIHWP9E11K8","1","A1T79J0XQXDDGC","-1","A1XIFPI36695GY","1","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LV5QYHH24OMY","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","1","ARX0S1CIDJLOX","-1","AUK4KGOJP9F0H","1","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","0.2","Tue May 28 15:24:36 UTC 2013"
"24ZMVHVKCJ01TXO2LIY9SQW6FUF57I","AppsPost.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","0","A1T79J0XQXDDGC","1","A1XIFPI36695GY","1","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","1","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LCFORIW0NF1S","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3IL7ZPRL8SU05","1","A3UWM3KJYEL5XU","0","ARX0S1CIDJLOX","-2","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","0.2","Tue May 28 15:31:13 UTC 2013"
"2B3RGNTBJ3MM5ARA66E6AKHBN84V9Q","EdenApps.com","A1012N48J0Z65N","0","A166A2M31CW2C7","-1","A19R04IXWA4ZLX","1","A1FDIHWP9E11K8","1","A1K01IV872R3WO","0","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2F0NZQ8F9ON8C","0","A2GNG3WN85SAY6","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A3IL7ZPRL8SU05","-2","A3UWM3KJYEL5XU","-1","A3UX2FXA3NMJCS","1","ARX0S1CIDJLOX","0","AUK4KGOJP9F0H","0","AY0758IITCGOZ","0","0.15","Tue May 28 11:46:32 UTC 2013"
"27E618N46UXF4QQ0EB5TVDSN769PRM","applada.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-2","A2VRQML8Q3XYP4","0","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","1","ARX0S1CIDJLOX","1","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","AZACNY1H74YWS","1","0.1","Tue May 28 15:26:00 UTC 2013"
"2I3Y58B727M0AT1FYCS66FSVTQNAVL","Appsist.com","A1012N48J0Z65N","1","A166A2M31CW2C7","0","A1FDIHWP9E11K8","1","A1K01IV872R3WO","0","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","-1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3HB9PPUZU565U","-1","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","1","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","0.05","Tue May 28 15:25:19 UTC 2013"
"2LX0OHOVR14IPXAX28THMCWAKJV56J","Appaca.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","0","A19R04IXWA4ZLX","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","2","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GNG3WN85SAY6","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","1","ARX0S1CIDJLOX","-1","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","0.05","Tue May 28 15:25:53 UTC 2013"
"2VMBLYHVI44OKF6GB74NMZSBOBX2WG","Appsia.com","A1012N48J0Z65N","0","A166A2M31CW2C7","1","A19R04IXWA4ZLX","-1","A1FDIHWP9E11K8","1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3IL7ZPRL8SU05","0","A3UWM3KJYEL5XU","0","A3UX2FXA3NMJCS","-1","ARX0S1CIDJLOX","-1","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","0.0","Tue May 28 13:13:36 UTC 2013"
"26YFL6VCPWZ9J0ZRZNM107SNHZKN8C","apptii.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","-1","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","0","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","0","A2LCFORIW0NF1S","0","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3A69WAN82XSCP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-2","ARX0S1CIDJLOX","-1","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.4","Tue May 28 16:26:45 UTC 2013"
"27A1CSTMOFXR55QDT05YLNXJT8SPSA","Appsii.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","-1","A19R04IXWA4ZLX","-1","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GNG3WN85SAY6","0","A2GXHECU31O81V","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-2","ARX0S1CIDJLOX","-1","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","-0.3","Tue May 28 15:25:50 UTC 2013"
"2BGT3DHJHP4B5Q6BLXZR0X9XH2V2V6","applare.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","0","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","0","A2LCFORIW0NF1S","0","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","0","A3UX2FXA3NMJCS","-1","ARX0S1CIDJLOX","-2","AWRAXV1RIYR0M","1","AY0758IITCGOZ","0","-0.25","Tue May 28 15:28:47 UTC 2013"
"2TEA6X3YOCCFSPB01WGTQNIIBK7PQL","HexApps.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","0","A24LUXW1DB1QI5","-1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LCFORIW0NF1S","-1","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-2","ARX0S1CIDJLOX","-1","AURYD2FH3FUOQ","0","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.2","Tue May 28 15:30:16 UTC 2013"
"24C8LZ6R70G5JMU8PIUVM7WS6FEN7P","Appecy.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","0","A1BQBQG2GNY8AY","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LCFORIW0NF1S","0","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","0","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.2","Tue May 28 15:30:29 UTC 2013"
"2N0AA2SEIUUUSDAL1J14QIS86OLPPU","Appcaza.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","-1","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","1","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","0","A2LCFORIW0NF1S","-1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","-2","AUK4KGOJP9F0H","0","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","-0.2","Tue May 28 15:27:36 UTC 2013"
"2808IUB2YU98BUEO2AUL8FBJN4FK84","apprizi.com","A1012N48J0Z65N","0","A166A2M31CW2C7","-1","A1FDIHWP9E11K8","-1","A1K01IV872R3WO","0","A1T79J0XQXDDGC","-1","A1XIFPI36695GY","1","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","-1","A3UX2FXA3NMJCS","-1","ARX0S1CIDJLOX","0","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.15","Tue May 28 15:25:08 UTC 2013"
"2W151Y7QEOZFQ3EWTRKMWFXRREWDG1","Appvery.com","A1012N48J0Z65N","1","A166A2M31CW2C7","1","A1FDIHWP9E11K8","-2","A1T79J0XQXDDGC","1","A1XIFPI36695GY","0","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LCFORIW0NF1S","-1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3A69WAN82XSCP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","-2","AWRAXV1RIYR0M","0","AY0758IITCGOZ","0","-0.15","Tue May 28 16:26:26 UTC 2013"
"217FE4EGDHDMUI73Z8EZ46HEDSFKA8","Appsuru.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","-1","A1T79J0XQXDDGC","-1","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","1","A3G00Q5JV2BE5G","-1","A3GWM5WHCEPVQQ","0","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","-1","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.15","Tue May 28 15:24:51 UTC 2013"
"2162L92HECWAYAPT5B3F8CP5YJHIH7","EveApps.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","0","A1FDIHWP9E11K8","0","A1K01IV872R3WO","0","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","0","A2LCFORIW0NF1S","0","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","0","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.1","Tue May 28 15:30:43 UTC 2013"
"25RZ6KW4ZMAZ9UDM2EH0WNNV53TG7B","appdorse.com","A1012N48J0Z65N","0","A166A2M31CW2C7","0","A1FDIHWP9E11K8","0","A1K01IV872R3WO","0","A1T79J0XQXDDGC","0","A1XIFPI36695GY","1","A24LUXW1DB1QI5","0","A2BWMYV8JU7RO4","1","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LV5QYHH24OMY","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3CCO4SVP8T75H","0","A3UWM3KJYEL5XU","-1","ARX0S1CIDJLOX","-2","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.1","Tue May 28 15:24:47 UTC 2013"
"2F55F3Q0JG5TQZ97DX24HF9S6E9DH0","AppyWorld.com","A1012N48J0Z65N","-1","A166A2M31CW2C7","1","A1FDIHWP9E11K8","0","A1T79J0XQXDDGC","-1","A1XIFPI36695GY","0","A24LUXW1DB1QI5","1","A2BWMYV8JU7RO4","0","A2F0NZQ8F9ON8C","0","A2GXHECU31O81V","1","A2LCFORIW0NF1S","1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A312KFQ78WB3A4","0","A34M93NJC830DP","0","A3A69WAN82XSCP","0","A3CCO4SVP8T75H","1","A3UWM3KJYEL5XU","0","ARX0S1CIDJLOX","-2","AWRAXV1RIYR0M","-1","AY0758IITCGOZ","0","-0.05","Tue May 28 16:26:35 UTC 2013"
