"HITID","Domain_Name","Worker1","Answer1","Worker2","Answer2","Worker3","Answer3","Worker4","Answer4","Worker5","Answer5","Worker6","Answer6","Worker7","Answer7","Worker8","Answer8","Worker9","Answer9","Worker10","Answer10","Avg","Date"
"2JYMMEGOOGQS4ZSDR9TSMIUU8MKCCI","Appscent.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","2","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","0","0.3","Mon May 27 19:45:50 UTC 2013"
"2S9I8IUB2YU90W3NAK23T0FBXV1J79","Appsia.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","0","A2QN0EGBRGJU1M","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","0.2","Mon May 27 19:43:13 UTC 2013"
"23QJIA0RYNJ9U05F3ZWBUJTUVKG72B","Appship.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","-1","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","0","0.2","Mon May 27 19:44:33 UTC 2013"
"2FNPQJQ9OPLLPPTP3QOGGKCOD7F1ZG","AppsKarma.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-2","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","0.2","Mon May 27 19:44:56 UTC 2013"
"2G4AZHHRRLFQS19ICQ81SHO9S2BENV","Appsfairy.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","-1","A2GXHECU31O81V","0","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","2","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","-2","0.1","Mon May 27 19:43:19 UTC 2013"
"297W1INMHGYQWWPIRAXBNMFF2KHJ6A","apprizi.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","-1","A2GXHECU31O81V","-1","A2QLSHXNCHBRN4","-1","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","0","-0.5","Mon May 27 19:44:07 UTC 2013"
"2ORKQW618N46MA17U3WXKETNRE6OM8","Appsii.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","-1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-1","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","0","-0.4","Mon May 27 19:45:30 UTC 2013"
"21UJ011K274JZM6LD5S8V46UB1VBD9","Appecy.com","A1VKHE5L6QVFUV","-2","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","0","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","1","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","-0.4","Mon May 27 19:45:37 UTC 2013"
"2C73TVOK5UFJXEK27DFZNYQSFYC474","apptii.com","A1VKHE5L6QVFUV","-2","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","-1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-1","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","1","-0.3","Mon May 27 19:45:46 UTC 2013"
"200A0RYNJ92NBX8VMADJ1UHYAO049G","Appsuru.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","2","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-1","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","-0.3","Mon May 27 19:45:26 UTC 2013"
"2X2PEIB9BAWLKZJK74MX2D3M7DB1YP","applare.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","-1","A2QN0EGBRGJU1M","0","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","1","-0.2","Mon May 27 19:44:43 UTC 2013"
"2H6UQIHPCGJ25FNJKVWXP0JP3E271U","iluvapps.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","-2","A2BWMYV8JU7RO4","-2","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-2","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","2","A3SWVCOJPJM7KQ","-1","-0.2","Mon May 27 20:13:25 UTC 2013"
"2UZJHP4BDDKGWBUM9W0XBG35LIV6ZJ","Appcaza.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","-1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","0","-0.2","Mon May 27 19:44:41 UTC 2013"
"2NPD1X3V0FK0416X0DSMFPKKN7BELT","HexApps.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","-1","A3SWVCOJPJM7KQ","-1","-0.2","Mon May 27 19:44:10 UTC 2013"
"25HFYQS1CSTMGSJMURVIK1EYR9GOL6","Appvery.com","A1VKHE5L6QVFUV","-2","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","0","A2QLSHXNCHBRN4","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","0","-0.2","Mon May 27 19:45:34 UTC 2013"
"29BMOFXRDS4I4E0TUMOJNM11OO1TWQ","Appsion.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","0","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","0","-0.2","Mon May 27 19:43:49 UTC 2013"
"2MCFJ51Y7QEORSKL903S1MOFBDWBE2","EveApps.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","-1","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-2","-0.1","Mon May 27 19:44:07 UTC 2013"
"2QH6KW4ZMAZH94DGWPROVNVRVN3H8P","appdorse.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","0","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-2","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","-0.1","Mon May 27 19:45:41 UTC 2013"
"20Y5TYMNCWYBWM149RJH511J29BOK3","Appaca.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","-1","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","-1","-0.1","Mon May 27 19:43:08 UTC 2013"
